L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
8593538.274104834,328744.00339899235,-8264794.2707058415,678013,7,9,0,0.01,14,156.25,15.625,234.375,0.0,0.0,0.0,343.75,203.125
328331.4905409462,213783.70016659916,-114547.79037434704,678013,7,9,0,0.01,14,0.0,15.625,234.375,0.0,0.0,0.0,343.75,0.0
146897.23942556407,162738.50070078322,15841.261275219149,678013,7,9,0,0.01,14,0.0,15.625,234.375,0.0,0.0,0.0,359.375,0.0
143429.71932921535,143697.40573940668,267.6864101913234,678013,7,9,0,0.01,14,0.0,15.625,234.375,0.0,0.0,0.0,359.375,0.0
142465.08370832313,142929.2533558369,464.16964751377236,678013,7,9,0,0.01,14,0.0,0.0,250.0,0.0,0.0,0.0,375.0,0.0
142419.6849216918,130147.28686170524,-12272.39805998656,678013,7,9,0,0.01,14,0.0,15.625,234.375,0.0,0.0,0.0,359.375,0.0
122885.76329969561,119467.94224254535,-3417.821057150257,678013,7,9,0,0.01,14,0.0,15.625,250.0,0.0,0.0,0.0,359.375,0.0
115146.4035214416,115331.0617470465,184.65822560488596,678013,7,9,0,0.01,14,0.0,15.625,234.375,0.0,0.0,0.0,375.0,0.0
114129.74157414306,114116.24764220428,-13.493931938777678,678013,7,9,0,0.01,14,0.0,15.625,250.0,0.0,0.0,0.0,359.375,0.0
113600.78254348041,113963.06217539187,362.2796319114568,678013,7,9,0,0.01,14,0.0,15.625,296.875,0.0,0.0,0.0,359.375,0.0
113359.21031085473,111602.60871819426,-1756.6015926604741,678013,7,9,0,0.01,14,0.0,15.625,281.25,0.0,0.0,0.0,328.125,0.0
110457.61067189112,110614.77453465141,157.16386276029516,678013,7,9,0,0.01,14,0.0,0.0,281.25,0.0,0.0,0.0,343.75,0.0
110405.86260611589,110320.50905446989,-85.35355164599605,678013,7,9,0,0.01,14,0.0,15.625,265.625,0.0,0.0,0.0,343.75,0.0
110137.41614472444,110536.76176001606,399.34561529161874,678013,7,9,0,0.01,14,0.0,0.0,265.625,0.0,0.0,0.0,328.125,0.0
110137.23170047485,110149.31112403917,12.079423564326135,678013,7,9,0,0.01,14,0.0,15.625,250.0,0.0,0.0,0.0,343.75,0.0
